S.No,Item Title,Price (INR),Location,OLX Link
1,"1 BHK in Kadavanthra, Cochin with covered car park, 1 km from metro","₹ 16,000","KADAVANTHRA, KOCHI",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1200-sq-ft-in-kadavanthra-kochi-iid-1806555203
2,Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","DABUA COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
3,Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294
4,Car cover Chevrolet Beat,"₹ 1,500","ASHTAVINAYAK NAGAR, MUMBAI",https://www.olx.in/item/other-household-items-c293-car-cover-chevrolet-beat-in-ashtavinayak-nagar-mumbai-iid-1806640241
5,75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","JAWAHAR COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
6,New wagon r or kuv car cover for sale,₹ 600,"DHARMAN NAGAR, SALEM",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-dharman-nagar-salem-iid-1806631077
7,"Car Cover Swift , Punch, i20, baleno","₹ 1,200","SHAKTI NAGAR, CHANDAUSI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shakti-nagar-chandausi-iid-1806624590
8,Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1804468000
9,Newly constructed luxury independent house with covered car parking,"₹ 13,000","NACHIKURICHI, TIRUCHIRAPPALLI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1700-sq-ft-in-nachikurichi-tiruchirappalli-iid-1800629924
10,2Bhk Luxury Low-rise Apartment Big Balcony With Covered Car Parking,"₹ 34,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-975-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1806610730
11,S Cross Car cover Dust and water Proof cover new one not used,"₹ 1,800","MEENAKSHI LAYOUT, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-meenakshi-layout-bengaluru-iid-1806610099
12,Car steering cover,₹ 199,"KANDIVALI WEST, MUMBAI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kandivali-west-mumbai-iid-1805522859
13,Honda VX CVT car cover unused,"₹ 1,400","JP NAGAR PHASE 7, BENGALURU",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jp-nagar-phase-7-bengaluru-iid-1802604043
14,"Spacious 1 bhk on 3rd floor with exclusive one covered car parking,","₹ 12,000","WAGHOLI, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-600-sq-ft-in-wagholi-pune-iid-1806573942
